RBF Kernel Results: 
{(0.01, 0.01): 0.7591904439861589, 
(0.01, 0.05): 0.8199072327446856, 
(0.01, 0.1): 0.8198458397529843, 
(0.01, 0.5): 0.7591904439861589, 
(0.01, 1): 0.7591904439861589, 
(0.05, 0.01): 0.8312091290292059, 
(0.05, 0.05): 0.8357545222732478, 
(0.05, 0.1): 0.8342496441082567, 
(0.05, 0.5): 0.7891649411630972, 
(0.05, 1): 0.7591904439861589, 
(0.1, 0.01): 0.8377200233168862, 
(0.1, 0.05): 0.839654878799125, 
(0.1, 0.1): 0.8387642531360044, 
(0.1, 0.5): 0.8061177686117271, 
(0.1, 1): 0.7619852144872089, 
(0.5, 0.01): 0.8429716849783658, 
(0.5, 0.05): 0.8457664866060249, 
(0.5, 0.1): 0.8468106711500756, 
(0.5, 0.5): 0.8321612721904638, 
(0.5, 1): 0.7897484349158989, 
(1, 0.01): 0.8444151475141218, 
(1, 0.05): 0.846749258350532, 
(1, 0.1): 0.847424892525337, 
(1, 0.5): 0.8366143976763748, 
(1, 1): 0.7982862911515207}
